year,day_type,usertype,duration_bin,count,period,bin_start
2022,Weekend,Customer,4-6,11138,Post-Pandemic (2022),4
2022,Weekend,Customer,6-8,18302,Post-Pandemic (2022),6
2022,Weekend,Customer,8-10,22465,Post-Pandemic (2022),8
2022,Weekend,Customer,10-12,24267,Post-Pandemic (2022),10
2022,Weekend,Customer,12-14,24407,Post-Pandemic (2022),12
2022,Weekend,Customer,14-16,23482,Post-Pandemic (2022),14
2022,Weekend,Customer,16-18,22011,Post-Pandemic (2022),16
2022,Weekend,Customer,18-20,20486,Post-Pandemic (2022),18
2022,Weekend,Customer,20-22,18975,Post-Pandemic (2022),20
2022,Weekend,Customer,22-24,17447,Post-Pandemic (2022),22
2022,Weekend,Customer,24-26,15916,Post-Pandemic (2022),24
2022,Weekend,Customer,26-28,14586,Post-Pandemic (2022),26
2022,Weekend,Customer,28-30,13558,Post-Pandemic (2022),28
2022,Weekend,Customer,30-32,10791,Post-Pandemic (2022),30
2022,Weekend,Customer,32-34,8906,Post-Pandemic (2022),32
2022,Weekend,Customer,34-36,7676,Post-Pandemic (2022),34
2022,Weekend,Customer,36-38,6736,Post-Pandemic (2022),36
2022,Weekend,Customer,38-40,5797,Post-Pandemic (2022),38
2022,Weekend,Customer,40-42,5418,Post-Pandemic (2022),40
2022,Weekend,Customer,42-44,4794,Post-Pandemic (2022),42
2022,Weekend,Customer,44-46,4322,Post-Pandemic (2022),44
2022,Weekend,Customer,46-48,3866,Post-Pandemic (2022),46
2022,Weekend,Customer,48-50,3490,Post-Pandemic (2022),48
2022,Weekend,Customer,50-52,3259,Post-Pandemic (2022),50
2022,Weekend,Customer,52-54,3063,Post-Pandemic (2022),52
2022,Weekend,Customer,54-56,2744,Post-Pandemic (2022),54
2022,Weekend,Customer,56-58,2676,Post-Pandemic (2022),56
2022,Weekend,Customer,58-60,2402,Post-Pandemic (2022),58
2022,Weekend,Subscriber,0-2,7057,Post-Pandemic (2022),0
2022,Weekend,Subscriber,2-4,44655,Post-Pandemic (2022),2
2022,Weekend,Subscriber,4-6,81081,Post-Pandemic (2022),4
2022,Weekend,Subscriber,6-8,88757,Post-Pandemic (2022),6
2022,Weekend,Subscriber,8-10,77939,Post-Pandemic (2022),8
2022,Weekend,Subscriber,10-12,64751,Post-Pandemic (2022),10
2022,Weekend,Subscriber,12-14,55239,Post-Pandemic (2022),12
2022,Weekend,Subscriber,14-16,45890,Post-Pandemic (2022),14
2022,Weekend,Subscriber,16-18,38724,Post-Pandemic (2022),16
2022,Weekend,Subscriber,18-20,32416,Post-Pandemic (2022),18
2022,Weekend,Subscriber,20-22,27063,Post-Pandemic (2022),20
2022,Weekend,Subscriber,22-24,22378,Post-Pandemic (2022),22
